est_ppl_15yrs_plus_poor_slf_ass_hlth_2014_15_asr_100, est_ppl_15yrs_plus_poor_slf_ass_hlth_2014_15_asr_100_lo_95pc_ci, pha_code
13.8,13.2,"30197"
16.4,15.7,"20252"
17.9,17.0,"40047"
12.7,12.2,"30113"
15.8,15.3,"30018"
13.3,12.6,"30180"
11.2,10.8,"30155"
15.6,14.5,"60035"
20.1,18.6,"60050"
13.1,12.4,"30165"
14.0,13.3,"30166"
12.7,12.1,"30037"
15.6,14.9,"30151"
15.2,14.7,"20012"
null,null,"70012"
11.7,11.1,"30004"
18.4,17.5,"30005"
12.9,12.4,"30168"
14.7,14.1,"30094"
18.5,17.9,"30145"
16.0,15.5,"30144"
17.4,16.9,"30171"
15.9,15.3,"10181"
21.8,20.7,"30038"
8.3,7.7,"30110"
12.9,12.3,"30106"
18.2,17.6,"30076"
16.2,15.5,"30017"
13.7,13.2,"30040"
11.1,10.4,"30035"
15.1,14.3,"30201"
15.3,14.7,"30134"
21.6,21.0,"20062"
18.1,16.6,"20226"
16.0,15.3,"20261"
18.1,17.2,"20149"
null,null,"30186"
16.2,15.4,"30079"
10.7,10.2,"30048"
12.7,12.2,"30109"
11.3,10.6,"30006"
19.7,19.2,"30233"
13.0,12.4,"10283"
15.6,14.9,"30019"
17.5,16.9,"30129"
19.8,19.1,"30130"
21.0,20.5,"30230"
11.1,10.5,"30062"
15.0,14.2,"10225"
12.1,11.4,"30002"
16.6,15.8,"30011"
14.5,13.6,"30078"
17.1,16.3,"30133"
null,null,"40078"
14.2,13.8,"40089"
23.9,23.0,"40020"
8.3,7.9,"40007"
18.0,17.5,"40040"
20.1,19.3,"40084"
18.0,17.1,"40070"
13.3,12.8,"40057"
null,null,"50097"
11.2,10.6,"50027"
14.1,13.6,"30164"
16.8,16.1,"30169"
13.5,12.9,"30007"
14.5,14.0,"10251"
20.4,19.3,"30022"
14.7,13.8,"10257"
11.7,11.2,"10293"
15.8,14.8,"10172"
11.8,11.3,"40044"
16.6,15.9,"40000"
14.2,13.7,"80015"
20.5,17.7,"80006"
13.7,13.2,"80003"
18.3,17.6,"50125"
13.6,12.9,"50054"
9.3,9.0,"50012"
18.1,16.8,"60024"
22.8,21.4,"60042"
14.9,14.1,"60026"
14.7,14.2,"60014"
15.8,15.2,"60012"
13.2,12.6,"70003"
19.7,19.0,"60038"
15.0,14.0,"60045"
17.6,16.6,"60023"
11.7,11.1,"80007"
18.3,16.9,"60049"
18.3,17.2,"60039"
14.1,13.4,"80014"
11.9,11.4,"80019"
13.4,11.7,"80005"
