admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_all_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_sr, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_sig, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_num, admis_mood_affective_disorders_p_all_hosps_2016_17_sig, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_sig, admis_mood_affective_disorders_p_pub_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_sr, admis_mood_affective_disorders_p_all_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_sr, admis_mood_affective_disorders_p_all_hosps_2016_17_sr, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_sig, pha_code16
923.9,null,49,null,72,null,67,"**",187.1,86,null,15,88,null,873.2,null,"10265"
1336.0,null,71,"**",152,null,145,"**",315.2,146,null,38,130,null,1290.3,"*","10171"
1509.8,41,80,null,141,"*",91,"**",236.0,109,426.0,23,98,68,975.0,null,"10328"
2538.3,265,135,"**",786,"**",218,"**",147.3,68,843.6,46,71,135,709.9,"**","10088"
1234.0,30,65,null,101,"**",92,"**",292.3,135,363.8,24,113,58,1130.5,null,"10262"
1413.7,81,75,"**",242,"**",224,"**",403.1,186,461.7,69,134,74,1336.8,"**","10263"
1424.6,36,76,"**",172,"**",85,"**",99.4,46,298.0,12,71,48,704.7,"**","10062"
481.3,41,26,"**",89,"**",60,"**",184.5,85,215.1,34,34,34,334.2,null,"20208"
1535.0,131,81,"**",678,"**",369,"**",185.0,86,297.7,82,83,48,831.1,null,"10060"
3145.1,150,167,"**",332,"**",70,"**",217.9,101,1403.7,23,67,224,670.6,null,"20038"
1859.1,65,99,null,185,null,111,null,291.2,135,637.7,30,112,102,1116.7,null,"10329"
1398.9,71,74,null,197,"*",123,"**",119.3,55,495.8,17,88,79,879.3,"*","10219"
1893.9,184,101,null,510,null,240,null,334.3,154,701.5,87,90,112,894.6,"**","10097"
1296.4,73,69,null,470,"**",392,"**",122.4,57,205.0,44,108,33,1076.3,"**","10027"
794.3,15,42,"**",58,"**",43,"**",123.4,57,207.4,9,59,33,583.6,null,"20078"
389.1,14,21,null,26,"**",null,"**",null,null,200.1,null,null,32,null,null,"60044"
2398.0,323,127,"**",1119,"*",610,"**",335.2,155,701.9,155,130,112,1299.3,"**","10136"
2175.4,255,115,"**",727,"**",260,"**",150.3,69,779.9,48,79,125,789.1,"*","10087"
2265.2,305,120,"**",903,"**",321,"**",161.1,74,783.7,63,80,125,800.6,"*","10130"
2099.5,101,111,"**",453,"**",388,"*",382.8,177,430.2,87,188,69,1876.1,"**","10169"
1570.3,60,83,"**",184,null,145,"*",243.2,112,515.2,28,125,82,1246.4,null,"10217"
3460.4,150,184,"**",343,"**",159,"**",741.4,343,1401.5,74,171,224,1708.2,"**","10305"
1116.7,24,59,null,78,"**",65,"**",271.1,125,344.0,19,94,55,932.3,null,"20069"
2294.1,125,122,null,431,null,187,"**",173.6,80,659.1,33,100,105,1000.7,null,"10082"
2054.6,78,109,"**",331,"*",280,null,326.7,151,470.8,54,176,75,1750.6,"**","10321"
2264.9,142,120,"**",540,null,296,"**",231.9,107,622.8,53,123,100,1229.8,null,"10129"
2963.1,233,157,"**",543,"**",271,"**",444.0,205,1226.6,84,150,196,1496.5,"**","20181"
1472.3,52,78,null,171,"*",null,"**",null,null,468.4,null,null,75,null,null,"30033"
2163.6,105,115,"**",434,null,379,"**",370.8,171,525.6,75,189,84,1878.9,"**","10322"
2395.1,103,127,"*",258,"**",82,"**",79.5,37,892.3,9,79,143,786.4,"**","10247"
3549.9,705,188,null,1293,"**",370,"**",297.0,137,1952.0,110,100,312,998.3,"**","20141"
2031.5,58,108,"**",205,null,52,null,81.3,38,586.4,8,52,94,515.2,"**","20048"
1980.2,133,105,null,385,null,217,null,170.4,79,683.0,34,110,109,1098.3,null,"10183"
1153.7,17,61,null,92,"**",65,"**",141.3,65,222.2,11,81,36,803.3,null,"20068"
1837.9,176,98,"**",796,"**",207,null,108.7,50,406.8,47,48,65,478.4,"**","10155"
1610.1,85,85,"**",280,"*",116,"**",125.3,58,488.9,22,66,78,662.1,"**","10052"
1432.1,null,76,"**",160,null,149,"**",390.9,181,null,45,139,null,1384.5,"**","50118"
1923.9,133,102,"**",501,"*",207,null,92.2,43,507.7,24,80,81,800.2,"**","10053"
2793.0,273,148,"**",811,"**",391,"**",178.4,82,915.7,54,135,146,1341.1,null,"10243"
1262.9,53,67,null,233,"**",187,"**",195.7,90,275.2,37,104,44,1036.7,null,"10269"
2780.9,158,148,"**",506,"**",239,"**",190.9,88,854.7,37,128,137,1278.3,null,"10244"
1627.7,80,86,"*",237,null,113,"*",180.2,83,545.4,26,79,87,788.7,null,"10113"
2980.8,192,158,"**",684,"**",285,"**",188.2,87,867.0,41,126,139,1250.8,null,"10034"
1793.3,92,95,null,287,null,180,null,179.4,83,568.7,29,113,91,1128.4,null,"10223"
1355.2,47,72,null,286,"**",232,"**",129.9,60,224.7,27,111,36,1103.6,"**","10030"
2227.1,166,118,null,580,null,236,"**",143.7,66,650.3,36,92,104,914.7,"*","10025"
2077.2,195,110,null,698,null,344,"*",136.0,63,604.8,44,102,97,1015.4,"**","10048"
3222.7,404,171,"*",952,"**",256,"**",169.3,78,1380.9,50,86,221,861.4,null,"10114"
1883.7,105,100,"**",257,"*",91,null,102.2,47,762.3,14,67,122,671.3,"**","10213"
1037.9,null,55,null,87,null,82,"**",244.8,113,null,21,101,null,1006.9,null,"10311"
1768.2,246,94,null,1174,"**",676,"*",146.7,68,400.7,92,100,64,999.3,"**","10039"
1703.6,79,90,"**",287,"*",108,null,77.4,36,471.4,13,64,75,638.6,"**","10054"
2437.4,524,129,"**",1002,"**",254,"**",97.4,45,1289.2,40,62,206,612.9,"**","20045"
1591.5,77,84,"**",272,"**",99,"**",78.4,36,461.6,13,58,74,580.5,"**","10026"
1855.4,75,98,null,257,null,138,null,202.6,94,546.6,28,99,87,991.1,null,"10058"
1156.6,40,61,null,153,"**",null,"**",null,null,312.2,null,null,50,null,null,"80004"
1605.5,34,85,"*",86,null,35,null,111.7,52,605.9,6,69,97,682.5,null,"10214"
2273.7,263,121,"**",727,"**",193,"**",136.8,63,825.9,43,61,132,610.7,"**","10020"
677.5,62,36,"**",232,"**",186,"**",131.5,61,188.7,43,54,30,541.6,"**","50063"
3519.8,283,187,"**",921,"**",415,"**",409.4,189,1078.8,109,158,172,1573.0,"**","10134"
null,null,null,"**",null,null,203,null,311.5,144,null,29,211,null,2099.1,"*","50102"
2161.3,97,115,"**",428,"**",245,"**",260.6,120,474.0,53,126,76,1251.3,null,"10191"
1275.7,21,68,null,68,"**",47,"**",180.5,83,357.3,10,94,57,940.7,null,"10325"
645.9,17,34,"**",86,"**",76,"**",81.2,38,118.3,11,61,19,605.5,"**","20228"
1732.4,195,92,"**",362,"**",132,null,52.8,24,930.8,11,64,149,634.8,"**","20051"
1905.2,369,101,"**",775,"**",198,null,101.4,47,908.3,41,49,145,488.8,"**","20094"
1401.1,131,74,"**",473,"**",396,"**",257.8,119,365.9,94,118,59,1176.5,null,"40089"
1393.1,82,74,"*",233,"*",133,"**",120.4,56,486.5,20,81,78,806.7,"**","10228"
1249.9,null,66,null,181,null,154,"**",197.9,91,null,29,108,null,1076.3,null,"10317"
1776.9,106,94,"**",283,null,101,null,95.0,44,673.6,15,63,108,632.5,"**","10206"
1255.6,30,67,null,164,"**",null,"**",null,null,221.7,null,null,35,null,null,"80016"
3695.3,192,196,null,613,"**",null,"**",null,null,1125.8,null,null,180,null,null,"30025"
1678.5,191,89,"**",658,"**",242,"**",153.2,71,488.7,60,62,78,617.7,"**","10061"
1350.2,47,72,"**",154,"**",57,"**",149.7,69,411.3,17,50,66,501.9,null,"20041"
1349.3,75,72,"*",274,"**",234,"**",227.8,105,366.1,47,116,59,1151.4,null,"10266"
2185.0,173,116,null,310,"**",null,"**",null,null,1208.4,null,null,193,null,null,"60020"
1578.3,100,84,"*",302,"*",218,"**",319.3,148,499.6,65,114,80,1139.8,"**","10323"
1195.1,106,63,null,303,"**",240,"**",356.3,165,411.4,91,96,66,957.1,"**","40050"
2383.5,104,127,"**",485,"**",429,"**",454.4,210,484.6,98,214,77,2128.1,"**","10167"
1833.6,46,97,null,165,null,81,null,119.3,55,501.5,11,91,80,901.9,"*","10200"
564.6,26,30,"**",100,"**",63,"**",64.8,30,137.6,12,37,22,365.8,"**","20222"
2990.0,545,159,"**",1216,"**",313,"**",191.0,88,1375.3,77,76,220,759.3,null,"20036"
2026.0,415,108,"**",1211,null,378,"*",184.4,85,688.5,114,62,110,622.5,null,"10085"
2104.8,132,112,null,581,"**",285,"**",180.2,83,484.4,49,104,77,1033.3,null,"10117"
1358.5,114,72,"**",467,"**",173,"**",65.9,30,363.3,21,50,58,494.9,"**","10040"
2510.0,389,133,"**",1566,null,755,"**",176.2,81,652.9,103,122,104,1219.1,"*","10036"
1616.3,81,86,"**",248,null,196,"*",249.2,115,534.2,39,125,85,1247.5,null,"10267"
1636.5,47,87,null,130,null,70,null,72.8,34,560.9,6,91,90,902.1,"**","10290"
1942.1,144,103,null,612,"**",286,null,165.1,76,476.4,51,90,76,891.8,null,"10076"
2425.7,156,129,"*",293,"**",94,"**",127.1,59,1243.1,16,79,199,783.0,"*","10275"
3117.0,73,165,"**",276,"**",129,"**",284.9,132,846.8,24,148,135,1472.8,null,"10035"
2411.4,284,128,"**",1167,null,620,"**",201.7,93,628.6,91,128,101,1275.0,null,"10037"
561.9,53,30,null,137,"**",null,"**",null,null,235.3,null,null,38,null,null,"80008"
1690.1,187,90,null,543,null,null,"*",null,null,598.8,null,null,96,null,null,"80011"
1018.8,42,54,null,118,"**",102,"**",293.3,136,345.8,34,92,55,920.8,null,"10159"
1685.6,75,89,"**",302,"**",279,null,356.8,165,405.6,66,158,65,1569.7,"**","10160"
2541.7,263,135,"**",670,"**",183,"**",72.5,34,975.0,20,69,156,687.1,"**","10248"
1718.1,62,91,"**",358,"**",311,null,243.5,113,299.1,50,151,48,1502.8,null,"50065"
1179.9,53,63,null,298,"**",null,"**",null,null,229.9,null,null,37,null,null,"80010"
2353.9,57,125,null,144,"**",null,"**",null,null,897.4,null,null,143,null,null,"80012"
2415.7,273,128,"**",574,"**",182,"**",225.2,104,1119.7,54,78,179,780.7,null,"10005"
2094.4,86,111,null,203,"**",76,null,126.8,59,880.8,12,81,141,803.0,null,"10210"
2464.0,209,131,"*",559,"**",192,"**",140.9,65,932.7,32,84,149,836.8,"*","10131"
1792.3,117,95,"**",456,"**",422,null,365.7,169,467.8,92,166,75,1655.0,"**","40025"
1778.6,117,94,null,373,null,199,null,120.9,56,548.3,26,95,88,949.8,"**","10229"
2224.1,177,118,"*",310,"**",110,"**",132.8,61,1242.2,19,80,199,793.1,"*","10277"
1766.2,49,94,"**",99,null,26,null,null,null,812.5,null,47,130,465.7,null,"10215"
396.5,null,21,"**",46,null,30,"**",77.0,36,null,9,27,null,270.7,"**","20189"
2775.3,327,147,null,571,"**",207,"**",142.3,66,1546.6,30,102,247,1015.6,"*","10281"
1054.1,null,56,null,67,null,62,"**",260.3,120,null,17,97,null,970.3,null,"10312"
966.7,24,51,null,100,"**",85,"**",182.8,84,231.1,19,83,37,823.6,null,"40052"
1529.7,44,81,null,319,"**",234,"**",166.6,77,211.9,35,112,34,1116.4,null,"10314"
3354.3,327,178,"**",706,"**",290,"**",475.6,220,1510.3,105,137,241,1366.3,"**","10306"
2108.0,275,112,"**",811,"*",97,"**",38.0,18,708.1,15,25,113,250.3,"**","20027"
3466.3,371,184,"**",995,"**",392,"**",488.7,226,1270.6,149,134,203,1330.9,"**","10307"
1446.8,48,77,"**",303,"**",256,"**",191.1,88,231.8,40,122,37,1210.9,null,"10315"
2242.4,43,119,null,171,null,72,"*",107.6,50,565.0,8,97,90,963.1,"*","10115"
null,null,null,null,null,null,91,null,498.6,230,null,43,106,null,1060.3,"**","20145"
1407.0,75,75,null,227,"**",161,"**",263.2,122,441.3,45,101,71,1005.2,null,"10324"
2566.9,446,136,null,1013,"**",402,"**",178.3,82,1102.6,73,102,176,1016.3,null,"10006"
2562.4,380,136,null,723,"**",259,"**",184.2,85,1356.2,51,93,217,926.0,null,"20123"
2400.2,166,127,"*",297,"**",94,"**",110.2,51,1279.5,14,78,205,780.8,"*","10276"
848.8,null,45,"*",91,null,84,"**",150.9,70,null,17,78,null,778.2,null,"20227"
1329.3,null,71,"*",120,null,112,"**",233.5,108,null,22,125,null,1249.0,null,"20271"
1612.7,null,86,"**",206,null,173,"*",210.3,97,null,27,133,null,1324.2,null,"10316"
1639.3,174,87,"**",418,null,101,"**",70.0,32,685.2,18,40,110,394.2,"**","20020"
2282.3,226,121,null,470,"**",184,"**",138.4,64,1099.0,29,89,176,883.8,"*","10291"
1222.6,59,65,null,281,"**",null,"**",null,null,258.0,null,null,41,null,null,"80013"
1018.7,59,54,"*",148,"**",111,"**",306.4,142,383.0,46,79,61,789.0,"*","20232"
3395.2,185,180,null,312,"**",103,"**",169.1,78,1897.5,16,117,303,1164.0,null,"10282"
1589.0,38,84,null,104,null,63,null,299.6,138,574.6,20,96,92,958.3,null,"10158"
1902.1,158,101,null,434,null,233,null,144.3,67,690.4,33,103,110,1024.8,"*","10012"
1245.4,73,66,"**",250,"**",122,"**",99.9,46,378.3,19,61,60,611.5,"**","20022"
1946.2,140,103,null,390,null,215,null,139.1,64,683.7,29,107,109,1064.3,"*","10009"
2099.2,156,111,"**",620,"*",229,"**",131.7,61,520.4,40,78,83,773.2,"**","10095"
1295.7,97,69,"**",267,"**",162,"**",291.1,135,466.9,59,80,75,801.0,"*","20152"
2248.4,381,119,"**",1185,"**",416,"**",139.7,65,729.1,73,79,117,788.0,"**","10094"
2302.5,505,122,"**",1224,"**",308,"**",118.2,55,951.0,63,58,152,577.5,"**","20043"
1026.6,117,54,"**",379,"**",276,"**",190.7,88,317.8,72,74,51,736.1,null,"20076"
664.4,46,35,"**",100,"**",85,"**",224.0,104,306.5,34,56,49,561.0,null,"20195"
1914.6,149,102,"**",289,"**",219,null,647.6,299,1028.1,99,140,164,1390.0,"**","20153"
2142.9,47,114,null,63,"**",null,null,null,null,1542.7,null,null,247,null,null,"60046"
1404.8,null,75,null,44,null,null,null,null,null,null,null,null,null,null,null,"60005"
1486.9,111,79,"**",256,null,241,"**",573.8,265,618.5,104,141,99,1400.0,"**","20259"
2450.2,192,130,null,636,"*",230,"**",218.1,101,728.0,57,90,116,894.1,null,"10079"
2162.4,213,115,"*",597,"**",309,"**",162.0,75,758.8,46,112,121,1119.3,"*","10008"
1783.0,179,95,null,614,"*",374,null,178.8,83,537.9,61,107,86,1068.4,null,"10234"
1501.2,null,80,"*",48,null,43,null,581.9,269,null,19,141,null,1400.1,"**","20250"
1515.5,81,80,"**",314,"**",286,"**",309.0,143,377.3,66,140,60,1397.2,"**","20251"
1284.3,148,68,null,498,"**",422,"**",243.5,113,392.4,93,108,63,1077.1,null,"20142"
1844.9,99,98,"**",250,null,93,null,110.7,51,715.6,15,70,114,702.0,"**","10216"
2253.0,62,120,"**",200,null,114,"*",145.0,67,687.8,13,130,110,1298.0,null,"10013"
1661.4,91,88,"**",211,null,94,null,254.7,118,689.1,33,76,110,755.5,null,"10192"
2216.8,114,118,"**",440,null,263,"**",199.8,92,569.2,40,133,91,1327.6,null,"10235"
1888.2,null,100,"**",301,null,295,null,806.8,373,null,125,183,null,1821.8,"**","40020"
423.1,31,22,"**",93,"**",65,"**",105.0,49,139.2,23,30,22,300.7,"**","20184"
1087.1,111,58,"**",407,"**",253,"**",102.0,47,304.4,37,68,49,675.0,"**","20003"
601.1,29,32,"**",127,"**",96,"**",45.1,21,127.3,10,47,20,471.9,"**","20238"
685.1,null,36,"**",129,null,96,"**",84.4,39,null,16,52,null,521.8,"**","20247"
1121.8,28,60,null,155,"**",122,"**",122.7,57,201.0,17,89,32,887.0,"*","20151"
1278.6,51,68,null,260,"**",190,"**",162.7,75,248.6,33,95,40,945.8,null,"20160"
653.1,61,35,"**",206,"**",182,"**",158.4,73,195.4,50,58,31,573.6,"*","20187"
3281.3,116,174,null,308,"**",null,"**",null,null,1281.7,null,null,205,null,null,"30022"
3581.3,411,190,null,1200,"**",347,"**",248.9,115,1227.3,83,104,196,1040.1,null,"20100"
692.7,30,37,"**",87,"**",52,"**",155.6,72,236.5,20,41,38,412.0,null,"20185"
572.2,67,30,"**",134,"**",100,"**",186.7,86,284.1,44,43,45,428.2,null,"20186"
1755.8,230,93,"**",624,null,145,null,63.2,29,651.9,23,40,104,399.7,"**","20032"
1623.0,103,86,"**",320,null,290,"**",410.8,190,545.0,78,146,87,1459.3,"**","20156"
791.0,70,42,"**",200,"**",145,"**",177.6,82,266.9,47,58,43,575.6,null,"20239"
null,null,null,null,null,null,208,null,212.6,98,null,44,106,null,1057.5,null,"20269"
970.7,null,52,null,75,null,61,"**",176.5,82,null,14,81,null,810.1,null,"10257"
1215.4,60,65,"*",151,"*",145,"**",439.8,203,462.4,55,121,74,1209.3,"**","40065"
1774.6,86,94,"**",329,"**",252,null,178.3,82,451.9,34,137,72,1365.9,null,"20262"
1855.6,244,98,"**",580,"**",226,null,137.7,64,771.9,42,74,123,740.5,"**","20114"
1604.3,152,85,"**",370,null,266,"**",381.1,176,628.4,90,119,100,1183.2,"**","10293"
2747.8,213,146,"**",879,null,190,"**",67.0,31,643.5,22,60,103,601.2,"**","20039"
1254.1,197,67,"**",366,null,221,"**",355.1,164,641.7,107,78,103,776.2,"**","20240"
null,null,null,"*",null,null,60,null,99.9,46,null,8,72,null,719.5,"*","50098"
508.8,25,27,"**",144,"**",98,"**",52.9,24,88.8,15,35,14,344.5,"**","20209"
1552.0,null,82,"**",252,null,238,"**",227.1,105,null,37,144,null,1439.1,null,"20088"
1898.5,274,101,"**",787,null,153,null,56.5,26,644.8,24,37,103,370.6,"**","20040"
853.7,26,45,"*",67,"**",55,"**",212.8,98,311.8,17,73,50,731.5,null,"20231"
3573.4,771,190,"**",1225,"**",138,"**",100.6,47,2274.9,35,40,364,394.5,"**","20035"
1024.3,135,54,"**",354,"**",281,"**",283.6,131,393.0,99,81,63,805.0,"**","20197"
2518.3,384,134,"**",813,"**",217,"**",188.4,87,1176.6,62,67,188,670.3,null,"20118"
2091.6,196,111,"**",517,"**",171,"*",217.4,100,811.0,52,70,130,695.1,null,"20119"
940.3,46,50,"**",209,"**",134,"**",92.3,43,234.3,20,57,37,566.7,"**","20008"
631.3,7,34,"**",27,"**",21,"**",null,null,153.7,null,52,25,515.8,null,"20206"
992.7,118,53,"**",426,"**",254,"**",197.5,91,294.7,80,58,47,582.6,null,"20001"
2681.0,148,142,"**",364,"**",348,"**",1051.2,486,1128.8,140,254,180,2526.9,"**","20087"
992.4,62,53,"**",162,"**",122,"**",153.6,71,366.6,26,76,59,752.3,null,"20270"
857.7,70,46,"**",224,"**",177,"**",161.4,75,277.1,41,67,44,671.4,null,"20000"
1213.6,33,64,null,192,"**",159,"**",152.9,71,208.4,24,102,33,1011.5,null,"50013"
1228.0,33,65,null,107,"**",71,"**",306.8,142,365.0,27,84,58,838.2,null,"20115"
867.6,38,46,"**",60,null,42,"**",376.5,174,524.8,26,64,84,634.5,"**","20201"
927.1,21,49,null,65,"**",52,"**",224.7,104,281.0,16,78,45,781.6,null,"10172"
2049.8,236,109,"**",515,"**",127,null,169.0,78,981.5,43,49,157,486.6,null,"20037"
424.1,null,23,"**",42,null,32,"**",null,null,null,null,33,null,328.9,null,"20143"
1528.3,29,81,"*",52,null,45,null,668.2,309,810.3,23,137,130,1369.5,"**","20253"
1366.4,8,73,"**",112,"**",33,"**",null,null,100.4,null,40,16,398.8,null,"20047"
771.4,40,41,"**",91,"**",81,"**",277.1,128,338.0,33,69,54,685.5,null,"20196"
1095.0,52,58,"*",177,"**",127,"**",257.0,119,305.2,42,82,49,819.2,null,"20273"
1287.8,67,68,"*",290,"**",193,"**",104.1,48,314.9,22,86,50,854.6,"**","20024"
1919.6,16,102,null,169,"**",null,null,null,null,191.8,null,null,31,null,null,"70012"
1195.2,254,63,"**",493,null,281,"**",184.3,85,636.8,74,68,102,675.0,null,"20124"
983.0,71,52,null,197,"**",174,"**",252.3,117,334.3,52,90,53,896.9,null,"20202"
2405.9,340,128,null,960,"**",389,"**",225.8,104,848.1,90,99,136,982.8,null,"20108"
1099.4,40,58,null,137,"**",106,"**",210.8,97,318.5,27,84,51,840.4,null,"20272"
3131.1,618,166,"**",1380,"**",331,"**",167.1,77,1384.8,76,75,221,745.8,"*","20139"
567.6,33,30,"**",111,"**",83,"**",119.9,55,165.8,24,43,27,425.3,"**","40006"
1465.4,null,78,"**",359,null,340,"**",378.4,175,null,92,139,null,1382.4,"**","40056"
1401.9,71,74,"**",336,"**",323,"**",280.1,129,306.3,66,133,49,1326.3,"*","40024"
1071.8,31,57,null,319,"**",null,"**",null,null,106.8,null,null,17,null,null,"70000"
1537.2,null,82,"**",141,null,131,"*",648.5,300,null,61,147,null,1467.5,"**","40068"
1170.5,138,62,null,386,"**",366,"**",383.3,177,419.2,129,110,67,1093.3,"**","40054"
1567.6,47,83,"**",343,"**",157,"**",135.1,62,210.1,30,73,34,725.1,"**","10181"
1270.3,60,67,null,105,null,82,"**",458.0,212,723.1,39,98,116,974.3,"**","40062"
759.2,39,40,"**",131,"**",79,"**",124.8,58,219.5,22,47,35,464.6,"**","20223"
672.6,null,36,"**",72,null,66,"**",175.5,81,null,19,63,null,632.0,null,"40033"
1513.8,121,80,"**",468,"**",455,"**",367.5,170,393.5,113,148,63,1471.2,"**","40058"
1775.1,106,94,"**",535,"**",488,null,285.8,132,356.4,86,161,57,1602.5,"**","40038"
2512.0,313,133,"**",736,"**",382,"**",377.0,174,1084.6,108,132,173,1311.3,"**","20129"
693.1,28,37,"**",86,"**",68,"**",125.7,58,214.1,16,57,34,565.2,"*","40048"
1391.7,193,74,null,453,null,331,"**",282.5,131,586.4,93,102,94,1019.1,"*","40042"
926.2,null,49,null,201,null,189,"**",324.3,150,null,68,88,null,871.8,"**","40027"
855.0,null,45,"*",77,null,70,"**",233.9,108,null,21,79,null,787.7,null,"40016"
928.1,19,49,null,144,"**",null,"**",null,null,121.5,null,null,19,null,null,"70002"
2128.2,113,113,"**",407,null,345,"*",477.1,220,570.5,95,182,91,1811.9,"**","20263"
1002.2,25,53,null,73,"**",65,"**",249.4,115,322.0,19,92,51,914.8,null,"20207"
1648.0,40,87,"**",174,"**",159,null,280.3,130,362.2,31,153,58,1521.4,null,"40074"
1532.1,75,81,"**",308,"**",293,"**",320.8,148,369.0,66,145,59,1448.7,"**","40017"
null,null,null,"**",null,null,50,null,87.1,40,null,9,53,null,524.7,"**","20248"
1320.4,107,70,null,258,null,204,"**",312.8,145,536.2,61,107,86,1066.6,"**","40032"
1016.1,56,54,"*",189,"**",156,"**",258.6,120,300.0,48,85,48,843.4,null,"40014"
300.4,null,16,null,13,null,null,"**",null,null,null,null,null,null,null,null,"60040"
531.9,27,28,"**",90,"**",56,"**",59.7,28,157.6,10,34,25,337.4,"**","50083"
2051.2,32,109,"**",88,null,66,null,250.0,116,700.4,11,160,112,1598.9,null,"40069"
1388.9,76,74,"**",244,"**",221,"**",320.5,148,439.2,58,122,70,1217.4,"**","40034"
1211.4,79,64,"*",184,null,176,"**",472.6,218,516.0,73,116,82,1160.4,"**","40028"
null,null,null,"*",null,null,39,null,167.7,77,null,10,68,null,680.4,null,"40090"
1685.6,60,89,"**",254,"**",242,null,352.5,163,403.1,52,162,64,1618.4,"**","20092"
1292.9,115,69,"**",372,"**",351,"**",372.4,172,397.3,107,123,64,1230.0,"**","40049"
null,null,null,"**",null,null,48,null,87.6,40,null,8,56,null,561.2,"**","20224"
1243.7,62,66,null,213,"**",193,"**",331.8,153,361.0,57,114,58,1131.1,"**","40005"
null,null,null,null,null,null,94,null,245.0,113,null,20,122,null,1215.8,null,"40071"
null,null,null,"**",null,null,537,null,854.1,395,null,159,292,null,2913.4,"**","40101"
1010.7,54,54,null,159,"**",138,"**",260.3,120,332.5,41,91,53,903.4,null,"40004"
884.0,32,47,"**",85,"**",54,"**",152.2,70,327.8,15,56,52,560.8,null,"50005"
1745.9,190,93,"**",520,null,409,null,418.7,193,635.9,124,139,102,1382.0,"**","40013"
null,null,null,"**",null,null,117,null,291.7,135,null,26,139,null,1380.4,null,"40098"
null,null,null,"**",null,null,97,null,497.2,230,null,28,180,null,1793.5,"**","40092"
1361.0,93,72,"**",394,"**",382,"**",296.2,137,317.2,87,133,51,1321.8,"**","40093"
1235.2,39,66,"*",134,"**",128,"**",306.6,142,348.6,34,120,56,1194.6,"*","40091"
1131.9,109,60,null,345,"**",311,"**",284.6,132,346.8,87,105,55,1045.3,"*","40059"
2030.1,52,108,"**",128,"*",116,null,703.7,325,825.7,45,183,132,1821.6,"**","40094"
679.8,null,36,"**",38,null,32,"**",235.6,109,null,13,60,null,595.0,null,"40018"
807.2,null,43,"*",98,null,91,"**",263.6,122,null,32,78,null,776.9,null,"40066"
1747.2,93,93,"**",214,null,207,null,704.9,326,727.4,88,174,116,1735.8,"**","40099"
1843.2,109,98,"**",310,null,256,null,482.6,223,621.0,85,153,99,1528.2,"**","20254"
3460.0,234,184,"**",633,"**",220,"**",137.5,64,1306.9,25,119,209,1186.6,"*","20103"
806.3,null,43,"**",262,null,250,"**",155.3,72,null,50,80,null,792.1,"*","40039"
879.9,58,47,"**",109,null,61,"**",120.5,56,493.9,14,49,79,492.1,"*","20011"
null,null,null,"**",null,null,54,null,415.1,192,null,13,173,null,1728.3,"*","50108"
null,null,null,"**",null,null,147,null,501.5,232,null,53,150,null,1497.7,"**","40100"
1297.3,181,69,"**",423,null,369,"**",428.5,198,550.0,140,115,88,1141.1,"**","40029"
null,null,null,null,null,null,14,null,397.7,184,null,9,66,null,661.0,null,"40095"
1324.2,null,70,"**",154,null,146,"**",374.3,173,null,45,126,null,1251.0,"**","40067"
1827.6,240,97,"**",816,"*",660,null,386.8,179,548.4,170,148,88,1471.2,"**","50033"
690.8,27,37,"**",102,"**",67,"**",132.5,61,179.4,20,46,29,453.9,"*","50006"
null,null,null,null,null,null,16,null,223.7,103,null,6,64,null,640.4,null,"40023"
null,null,null,"**",null,null,80,null,467.8,216,null,21,194,null,1927.9,"**","40075"
1765.0,157,94,"**",460,null,321,null,301.2,139,624.2,75,123,100,1229.6,"**","20159"
989.5,43,53,"*",180,"**",152,"**",159.7,74,240.3,28,85,38,846.0,null,"50021"
2141.2,null,114,"**",122,null,117,null,301.6,139,null,18,212,null,2116.4,null,"40072"
1702.4,null,90,"**",273,null,266,null,345.5,160,null,56,168,null,1669.6,"**","40080"
987.4,103,52,"**",324,"**",277,"**",224.3,104,320.4,72,85,51,842.9,null,"40019"
1159.7,97,62,null,303,"**",264,"**",297.5,137,384.2,78,99,61,981.5,"**","40063"
1018.2,111,54,"**",337,"**",192,"**",98.3,45,329.3,33,59,53,585.0,"**","50074"
null,null,null,null,null,null,48,null,197.8,91,null,13,77,null,770.7,null,"40096"
2273.0,88,121,"**",329,null,303,"**",422.4,195,598.1,63,209,96,2085.8,"**","40073"
3347.3,null,178,"**",164,null,159,"**",923.9,427,null,47,318,null,3167.1,"**","40102"
1489.4,null,79,"**",268,null,255,"**",606.0,280,null,107,141,null,1404.2,"**","40064"
